股票代码,起始日期,结束日期,行数,覆盖年数,收盘价<=0天数,成交量=0天数,单日涨跌幅绝对值>21%天数,收盘价较前日变动>50%天数,重复日期条数,关键字段NaN条数,任意红旗,红旗项,红旗分数
000001,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
000002,2015-06-30,2026-06-30,2537,11.01,0,0,0,0,0,0,False,,0
000063,2015-06-30,2026-06-30,2598,11.01,0,0,0,0,0,0,False,,0
000100,2015-06-30,2026-06-30,2506,11.01,0,0,0,0,0,0,False,,0
000157,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
000166,2015-06-30,2026-06-30,2647,11.01,0,0,0,0,0,0,False,,0
000301,2015-06-30,2026-06-30,2496,11.01,0,0,0,0,0,0,False,,0
000333,2015-06-30,2026-06-30,2622,11.01,0,0,0,0,0,0,False,,0
000338,2015-06-30,2026-06-30,2670,11.01,0,0,0,0,0,0,False,,0
000408,2015-06-30,2026-06-30,2611,11.01,0,0,0,0,0,0,False,,0
000425,2015-06-30,2026-06-30,2632,11.01,0,0,0,0,0,0,False,,0
000538,2015-06-30,2026-06-30,2508,11.01,0,0,0,0,0,0,False,,0
000568,2015-06-30,2026-06-30,2654,11.01,0,0,0,0,0,0,False,,0
000596,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
000617,2015-06-30,2026-06-30,2563,11.01,0,0,0,0,0,0,False,,0
000625,2015-06-30,2026-06-30,2652,11.01,0,0,0,0,0,0,False,,0
000630,2015-10-23,2026-06-30,2586,10.69,0,0,0,0,0,0,False,,0
000651,2015-06-30,2026-06-30,2515,11.01,0,0,0,0,0,0,False,,0
000657,2015-06-30,2026-06-30,2522,11.01,0,0,0,0,0,0,False,,0
000708,2015-10-20,2026-06-30,2593,10.7,0,0,0,0,0,0,False,,0
000725,2015-06-30,2026-06-30,2669,11.01,0,0,0,0,0,0,False,,0
000768,2015-06-30,2026-06-30,2667,11.01,0,0,0,0,0,0,False,,0
000776,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
000792,2015-06-30,2026-06-30,2348,11.01,0,0,1,1,0,0,True,单日涨跌幅绝对值>21%天数; 收盘价较前日变动>50%天数,150
000807,2015-06-30,2026-06-30,2639,11.01,0,0,0,0,0,0,False,,0
000858,2015-06-30,2026-06-30,2612,11.01,0,0,0,0,0,0,False,,0
000895,2015-06-30,2026-06-30,2657,11.01,0,0,0,0,0,0,False,,0
000938,2015-06-30,2026-06-30,2623,11.01,0,0,0,0,0,0,False,,0
000963,2015-08-05,2026-06-30,2646,10.91,0,0,0,0,0,0,False,,0
000975,2015-06-30,2026-06-30,2498,11.01,0,0,0,0,0,0,False,,0
000977,2015-06-30,2026-06-30,2656,11.01,0,0,0,0,0,0,False,,0
000988,2015-06-30,2026-06-30,2669,11.01,0,0,0,0,0,0,False,,0
000999,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
001280,2025-12-03,2026-06-30,137,0.57,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
001391,2024-12-30,2026-06-30,361,1.5,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
001965,2017-12-25,2026-06-30,2063,8.52,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
001979,2015-12-30,2026-06-30,2532,10.51,0,0,0,0,0,0,False,,0
002001,2015-07-13,2026-06-30,2659,10.97,0,0,0,0,0,0,False,,0
002027,2015-09-02,2026-06-30,2621,10.83,0,0,0,0,0,0,False,,0
002028,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
002049,2015-06-30,2026-06-30,2468,11.01,0,0,0,0,0,0,False,,0
002050,2015-06-30,2026-06-30,2628,11.01,0,0,0,0,0,0,False,,0
002074,2015-06-30,2026-06-30,2639,11.01,0,0,0,0,0,0,False,,0
002142,2015-06-30,2026-06-30,2665,11.01,0,0,0,0,0,0,False,,0
002179,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
002202,2015-06-30,2026-06-30,2666,11.01,0,0,0,0,0,0,False,,0
002230,2015-06-30,2026-06-30,2621,11.01,0,0,0,0,0,0,False,,0
002236,2015-06-30,2026-06-30,2667,11.01,0,0,0,0,0,0,False,,0
002241,2015-06-30,2026-06-30,2665,11.01,0,0,0,0,0,0,False,,0
002304,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
002311,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
002352,2015-06-30,2026-06-30,2624,11.01,0,0,0,0,0,0,False,,0
002353,2015-09-30,2026-06-30,2591,10.76,0,0,0,0,0,0,False,,0
002371,2015-06-30,2026-06-30,2601,11.01,0,0,0,0,0,0,False,,0
002384,2015-06-30,2026-06-30,2471,11.01,0,0,0,0,0,0,False,,0
002415,2015-06-30,2026-06-30,2628,11.01,0,0,0,0,0,0,False,,0
002422,2015-06-30,2026-06-30,2668,11.01,0,0,0,0,0,0,False,,0
002460,2015-06-30,2026-06-30,2660,11.01,0,0,0,0,0,0,False,,0
002463,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
002466,2015-06-30,2026-06-30,2646,11.01,0,0,0,0,0,0,False,,0
002475,2015-06-30,2026-06-30,2655,11.01,0,0,0,0,0,0,False,,0
002493,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
